zip_best,State,complaint_count,zip,pop,pop_white,pop_black_or_aa,pop_ai_or_an,pop_asian,pop_nh_or_opi,pop_other,pop_multiple,pop_hol,pop_not_hol,income_mean_household_dollars,Cluster
10560,NY,7,10560,4975.0,4154.0,88.0,4.0,112.0,1.0,144.0,351.0,476.0,4378.0,177313.0,3
10562,NY,153,10562,33538.0,15317.0,4347.0,337.0,1562.0,7.0,8011.0,4671.0,14112.0,20140.0,122801.0,0
10566,NY,119,10566,25401.0,9114.0,5096.0,233.0,737.0,6.0,7035.0,3163.0,11139.0,14245.0,83892.0,1
10567,NY,120,10567,20069.0,13708.0,1507.0,70.0,932.0,1.0,1774.0,2408.0,4327.0,16073.0,164871.0,3
10570,NY,6,10570,13168.0,10750.0,543.0,33.0,926.0,0.0,669.0,1065.0,1637.0,12349.0,198979.0,3
10573,NY,116,10573,41139.0,17574.0,1679.0,662.0,1488.0,7.0,13733.0,6615.0,22284.0,19474.0,139027.0,3
10576,NY,8,10576,4927.0,4326.0,72.0,5.0,168.0,0.0,97.0,431.0,347.0,4752.0,315237.0,3
10577,NY,3,10577,6145.0,3642.0,491.0,21.0,1283.0,15.0,199.0,357.0,801.0,5207.0,326943.0,3
10579,NY,14,10579,8171.0,7000.0,228.0,20.0,180.0,6.0,436.0,763.0,1150.0,7483.0,152422.0,3
10580,NY,21,10580,18077.0,14737.0,209.0,41.0,1294.0,5.0,449.0,1533.0,1501.0,16767.0,318770.0,3
10583,NY,209,10583,41107.0,28236.0,995.0,48.0,8192.0,4.0,937.0,3177.0,2822.0,38767.0,311238.0,3
10588,NY,3,10588,3296.0,1801.0,92.0,14.0,119.0,1.0,159.0,244.0,391.0,2039.0,129829.0,3
10589,NY,5,10589,7159.0,7543.0,101.0,2.0,286.0,0.0,127.0,451.0,532.0,7978.0,151135.0,3
10590,NY,4,10590,7407.0,5530.0,99.0,29.0,209.0,0.0,152.0,537.0,567.0,5989.0,198694.0,3
10591,NY,116,10591,23912.0,12802.0,1278.0,96.0,1268.0,3.0,4517.0,3337.0,8363.0,14938.0,147702.0,3
10594,NY,5,10594,5565.0,4132.0,44.0,11.0,240.0,1.0,256.0,344.0,595.0,4433.0,182791.0,3
10595,NY,11,10595,7213.0,5399.0,444.0,35.0,407.0,1.0,382.0,596.0,991.0,6273.0,148181.0,3
10596,NY,2,10596,796.0,1086.0,42.0,0.0,16.0,0.0,206.0,169.0,389.0,1130.0,100864.0,1
10598,NY,194,10598,29066.0,22870.0,974.0,60.0,1530.0,4.0,1299.0,2303.0,3659.0,25381.0,153734.0,3
10601,NY,334,10601,11193.0,4881.0,2011.0,112.0,1399.0,3.0,1923.0,1553.0,3702.0,8180.0,125938.0,3
10603,NY,124,10603,19239.0,7155.0,4266.0,148.0,1549.0,13.0,2712.0,2190.0,5129.0,12904.0,128927.0,3
10604,NY,22,10604,11799.0,6916.0,742.0,74.0,707.0,4.0,1746.0,1337.0,3351.0,8175.0,159821.0,3
10605,NY,74,10605,19800.0,12913.0,1361.0,124.0,1087.0,13.0,1827.0,2113.0,3926.0,15512.0,166510.0,3
10605,None,1,10605,19800.0,12913.0,1361.0,124.0,1087.0,13.0,1827.0,2113.0,3926.0,15512.0,166510.0,3
10606,NY,130,10606,16429.0,5977.0,2202.0,362.0,1245.0,7.0,4957.0,2179.0,7804.0,9125.0,127182.0,3
10607,NY,23,10607,6764.0,2390.0,1961.0,65.0,978.0,1.0,1150.0,896.0,2077.0,5364.0,160887.0,3
10607,None,1,10607,6764.0,2390.0,1961.0,65.0,978.0,1.0,1150.0,896.0,2077.0,5364.0,160887.0,3
10701,NY,843,10701,68032.0,16850.0,18130.0,1094.0,2835.0,21.0,20935.0,8839.0,34099.0,34605.0,77004.0,2
10703,NY,200,10703,23565.0,7899.0,3964.0,306.0,1284.0,11.0,5737.0,3370.0,10262.0,12309.0,94962.0,1
10704,NY,310,10704,32438.0,18140.0,3294.0,173.0,2267.0,10.0,4938.0,3604.0,9491.0,22935.0,101070.0,0
10705,NY,291,10705,38861.0,9427.0,7396.0,842.0,2129.0,32.0,15637.0,6322.0,24792.0,16993.0,84705.0,0
10706,NY,13,10706,9068.0,7129.0,251.0,13.0,641.0,1.0,327.0,977.0,1030.0,8309.0,217163.0,3
10707,NY,32,10707,10209.0,7653.0,715.0,20.0,831.0,2.0,477.0,855.0,1299.0,9254.0,160879.0,3
10708,NY,128,10708,22595.0,16361.0,1306.0,42.0,1402.0,8.0,1253.0,1927.0,3016.0,19283.0,190835.0,3
10709,NY,12,10709,10085.0,8035.0,183.0,0.0,874.0,1.0,291.0,747.0,907.0,9224.0,168352.0,3
10710,NY,211,10710,26099.0,12954.0,3814.0,129.0,3424.0,11.0,3449.0,2944.0,7187.0,19538.0,107101.0,0
10801,NY,619,10801,41724.0,13468.0,10469.0,617.0,2018.0,29.0,10835.0,5513.0,17919.0,25030.0,100614.0,2
10803,NY,51,10803,13283.0,9435.0,778.0,24.0,871.0,11.0,691.0,1445.0,1705.0,11550.0,251013.0,3
10804,NY,84,10804,15036.0,11041.0,1224.0,23.0,678.0,6.0,423.0,1060.0,1252.0,13203.0,253155.0,3
10805,NY,51,10805,20736.0,7961.0,3177.0,285.0,929.0,14.0,3729.0,2384.0,6843.0,11636.0,102512.0,1
10901,NY,804,10901,25498.0,17559.0,1625.0,159.0,1460.0,16.0,2240.0,2086.0,4302.0,20843.0,124034.0,0
10913,NY,3,10913,5286.0,4329.0,232.0,16.0,368.0,4.0,287.0,411.0,790.0,4857.0,193394.0,3
10914,NY,2,10914,384.0,449.0,31.0,2.0,18.0,0.0,26.0,79.0,111.0,494.0,86301.0,1
10916,NY,10,10916,4445.0,3650.0,153.0,19.0,121.0,0.0,175.0,486.0,639.0,3965.0,129529.0,3
10917,NY,4,10917,1969.0,1252.0,147.0,17.0,162.0,4.0,216.0,175.0,426.0,1547.0,181181.0,3
10918,NY,28,10918,12152.0,8609.0,1125.0,50.0,513.0,2.0,953.0,1295.0,2283.0,10264.0,128176.0,3
10920,NY,12,10920,8605.0,5687.0,388.0,28.0,1243.0,0.0,576.0,805.0,1509.0,7218.0,151653.0,3
10921,NY,5,10921,4268.0,3067.0,305.0,22.0,103.0,1.0,269.0,438.0,758.0,3447.0,110763.0,1
10923,NY,80,10923,8419.0,4071.0,1630.0,77.0,463.0,3.0,1741.0,1504.0,3707.0,5782.0,112071.0,1
10924,NY,49,10924,13965.0,10096.0,833.0,64.0,484.0,3.0,1156.0,1370.0,2985.0,11021.0,123936.0,3
10925,NY,8,10925,4466.0,3555.0,78.0,19.0,94.0,4.0,203.0,388.0,568.0,3773.0,98407.0,1
